recommendation_rank,recommendation_score,name,rating,sentiment_score,sentiment_label,reviews_count,address,price_level,category,phone,website,google_maps_url,latitude,longitude,menu_item,menu_item_price,menu_item_description
1,0.885,Kala Thai Cookery,4.6,0.85,Very Positive,1128,"151 Hanover St, Boston, MA 02109",$10-30,Thai restaurant,(857) 350-4378,http://kalaboston.com/,https://www.google.com/maps/search/?api=1&query=Kala+Thai+Cookery&query_place_id=ChIJx59PjYBx44kRt8kLOOk_AQI,42.3618671,-71.0567664,,,
2,0.87,Nakhon Southern Thai,4.6,0.82,Very Positive,101,"296 Washington St, Brighton, MA 02135",$20-30,Thai restaurant,(617) 830-0098,https://order.toasttab.com/online/nakhon,https://www.google.com/maps/search/?api=1&query=Nakhon+Southern+Thai&query_place_id=ChIJV863VCN544kRCWjtXI7vzWQ,42.3488772,-71.151051,,,
3,0.82,Souper Siam,4.6,0.72,Positive,38,"190 High St, Boston, MA 02110",$10-20,Thai restaurant,(617) 991-6536,https://www.soupersiamboston.com/,https://www.google.com/maps/search/?api=1&query=Souper+Siam&query_place_id=ChIJEQVAZLxx44kRcBrSELpA084,42.3566828,-71.0522457,,,
4,0.8,Thai Oishi,4.6,0.68,Mixed,177,"203 Adams St, Boston, MA 02122",$10-20,Thai restaurant,(617) 282-2878,http://www.thaioishiboston.com/,https://www.google.com/maps/search/?api=1&query=Thai+Oishi&query_place_id=ChIJaRCHy2N744kRv4Ry_uIF0CY,42.3018826,-71.0602053,,,
