recommendation_rank,recommendation_score,name,rating,sentiment_score,sentiment_label,reviews_count,address,price_level,category,phone,website,google_maps_url,latitude,longitude,menu_item,menu_item_price,menu_item_description
1,0.905,Gokul Pure Veg - Gujarati & Punjabi Thali,4.8,0.85,Very Positive,431,"4617 Coit Rd Ste 120, Frisco, TX 75035",$10-20,Gujarati restaurant,(214) 308-9691,https://www.gokultx.com/,https://www.google.com/maps/search/?api=1&query=Gokul+Pure+Veg&query_place_id=ChIJr0kCaEc9TIYRsS8AHMVwEDs,33.116909,-96.768778,,,
2,0.85,Marina Indian Restaurant,4.6,0.78,Positive,2875,"4617 Coit Rd Unit 130, Frisco, TX 75035",,Indian restaurant,(469) 579-4311,https://marinaindian.com/?utm_source=google,https://www.google.com/maps/search/?api=1&query=Marina+Indian+Restaurant&query_place_id=ChIJtfbiejY9TIYRZN_NG0Pt_nY,33.1169906,-96.7686934,,,
3,0.835,Frisco BaseCamp Restaurant & Bar,4.6,0.75,Positive,1430,"2552 Stonebrook Pkwy #302, Frisco, TX 75034",$10-30,Nepalese restaurant,(972) 292-9538,https://www.friscobasecamp.com/,https://www.google.com/maps/search/?api=1&query=Frisco+BaseCamp&query_place_id=ChIJTVrt4nE7TIYR7ifoJ6ND3TU,33.1335785,-96.867714,,,
4,0.835,Spicy Vihaar,4.6,0.75,Positive,1856,"4235 Preston Rd Ste 100, Frisco, TX 75034",$20-30,Indian restaurant,(469) 902-8883,https://www.spicyvihaar.com/,https://www.google.com/maps/search/?api=1&query=Spicy+Vihaar&query_place_id=ChIJTcdlTJY9TIYRq9DcMf5zg4c,33.1147907,-96.8063227,,,
5,0.82,"Hifi Bros - Curry, Biryani & More",4.7,0.7,Insufficient data,149,"2552 Stonebrook Pkwy Ste a500, Frisco, TX 75034",$10-20,Modern Indian restaurant,(214) 308-9508,https://www.hifibroskitchen.com/,https://www.google.com/maps/search/?api=1&query=Hifi+Bros&query_place_id=ChIJ4XBeF9A7TIYRenAOFM5k3oo,33.1337665,-96.8683561,,,
6,0.795,SAN IDLI Vegetarian Restaurant & Indian Food,4.7,0.65,Mixed,144,"15900 State Hwy 121 Ste 300, Frisco, TX 75035",$10-20,Indian restaurant,(972) 332-8301,https://sanidli.com/frisco/,https://www.google.com/maps/search/?api=1&query=SAN+IDLI&query_place_id=ChIJmWUsRrcXTIYR4h-N2hoejq8,33.1261113,-96.7363473,,,
